Iteration,k,NumSubPops,Migration,InnovationRate,Ones_Mean,Ones_95%_Lower,Ones_95%_Upper,Twos_Mean,Twos_95%_Lower,Twos_Upper,Richness_Mean,Richness_95%_Lower,Richness_Upper,Fst_Mean,Fst_95%_Lower,Fst_95%_Upper
0,2,25,0.0001,0.0,9.0,7.479278386208362,10.520721613791638,5.2,2.5081365976620944,7.891863402337906,18.2,15.508136597662094,20.891863402337904,0.9578472292136182,0.934085784813102,0.9816086736141344
1,2,25,0.0025,0.0,0.2,-0.3552890210395599,0.75528902103956,0.2,-0.3552890210395598,0.7552890210395597,8.4,6.144405333700956,10.655594666299045,0.6342708161686417,0.5301419868053474,0.7383996455319359
2,2,25,0.0005,0.0,0.2,-0.3552890210395599,0.75528902103956,2.0,1.1220109669149156,2.8779890330850844,11.4,10.719912619341743,12.080087380658258,0.8320548544470292,0.7955651410386062,0.8685445678554522
3,2,25,0.001,0.0,0.8,0.24471097896044014,1.3552890210395598,1.2,-0.1601747613165141,2.560174761316514,10.4,9.289421957920881,11.51057804207912,0.7427545680732487,0.6830365862992154,0.802472549847282
4,2,25,0.0025,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,7.2,5.358314667008015,9.041685332991985,0.6550788833156374,0.571439752058001,0.7387180145732737
5,2,25,0.005,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,7.4,5.984285223017725,8.815714776982276,0.5130225671057755,0.4424992439897324,0.5835458902218187
6,2,25,0.0001,0.0,7.2,5.358314667008015,9.041685332991985,6.6,4.025230732070918,9.174769267929081,17.2,15.358314667008015,19.041685332991985,0.9393110276341459,0.9108326458874754,0.9677894093808164
7,2,25,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.581068215291294,8.818931784708706,0.6342898704416721,0.5952999345815457,0.6732798063017984
8,2,25,0.0005,0.0,0.8,-0.23885063368356962,1.8388506336835697,3.4,0.8252307320709176,5.974769267929082,12.6,9.879650477366972,15.320349522633027,0.849140451971202,0.8128187792410208,0.8854621247013833
9,2,25,0.001,0.0,0.6,-0.5105780420791194,1.7105780420791192,1.0,-0.5207216137916382,2.520721613791638,11.4,8.679650477366973,14.120349522633028,0.7418824126010638,0.6789967211977773,0.8047681040043503
10,2,25,0.0025,0.0,0.0,0.0,0.0,0.6,-0.08008738065825705,1.280087380658257,8.4,5.979551272830928,10.820448727169072,0.6110175253271446,0.5548482925296637,0.6671867581246255
11,2,25,0.005,0.0,0.0,0.0,0.0,0.2,-0.3552890210395598,0.7552890210395597,8.0,5.366032900744747,10.633967099255253,0.457699141457162,0.378470722453623,0.536927560460701
12,5,25,0.0001,0.0,4.6,2.0252307320709177,7.174769267929081,4.0,1.516672003592467,6.483327996407533,14.8,13.181068215291294,16.418931784708708,0.897827258482643,0.8714543550584181,0.9242001619068679
13,5,25,0.0025,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,6.0,4.244021933829831,7.755978066170169,0.3929167782978216,0.29072673474395816,0.4951068218516851
14,5,25,0.0005,0.0,0.6,-0.08008738065825705,1.280087380658257,0.6,-0.5105780420791194,1.7105780420791192,8.8,7.181068215291294,10.418931784708708,0.6927056231806031,0.6467671480414775,0.7386440983197288
15,5,25,0.001,0.0,0.0,0.0,0.0,0.4,-0.280087380658257,1.0800873806582572,7.6,5.52229873263286,9.677701267367139,0.5528456687063029,0.45072674139141106,0.6549645960211947
16,5,25,0.0025,0.0,0.0,0.0,0.0,0.2,-0.3552890210395598,0.7552890210395597,8.2,6.5810682152912925,9.818931784708706,0.3267990121258156,0.29529483327505723,0.3583031909765739
17,5,25,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,5.919912619341742,7.280087380658257,0.261648071597323,0.16154973048296567,0.36174641271168034
