Iteration,k,NumSubPops,Migration,InnovationRate,Ones_Mean,Ones_95%_Lower,Ones_95%_Upper,Twos_Mean,Twos_95%_Lower,Twos_Upper,Richness_Mean,Richness_95%_Lower,Richness_Upper,Fst_Mean,Fst_95%_Lower,Fst_95%_Upper
0,2,25,0.0001,0,9,7.479278386,10.52072161,5.2,2.508136598,7.891863402,18.2,15.5081366,20.8918634,0.957847229,0.934085785,0.981608674
1,2,25,0.0025,0,0.2,-0.355289021,0.755289021,0.2,-0.355289021,0.755289021,8.4,6.144405334,10.65559467,0.634270816,0.530141987,0.738399646
2,2,25,0.0005,0,0.2,-0.355289021,0.755289021,2,1.122010967,2.877989033,11.4,10.71991262,12.08008738,0.832054854,0.795565141,0.868544568
3,2,25,0.001,0,0.8,0.244710979,1.355289021,1.2,-0.160174761,2.560174761,10.4,9.289421958,11.51057804,0.742754568,0.683036586,0.80247255
4,2,25,0.0025,0,0.2,-0.355289021,0.755289021,0,0,0,7.2,5.358314667,9.041685333,0.655078883,0.571439752,0.738718015
5,2,25,0.005,0,0.2,-0.355289021,0.755289021,0,0,0,7.4,5.984285223,8.815714777,0.513022567,0.442499244,0.58354589
6,2,25,0.0001,0,7.2,5.358314667,9.041685333,6.6,4.025230732,9.174769268,17.2,15.35831467,19.04168533,0.939311028,0.910832646,0.967789409
7,2,25,0.0025,0,0,0,0,0,0,0,7.2,5.581068215,8.818931785,0.63428987,0.595299935,0.673279806
8,2,25,0.0005,0,0.8,-0.238850634,1.838850634,3.4,0.825230732,5.974769268,12.6,9.879650477,15.32034952,0.849140452,0.812818779,0.885462125
9,2,25,0.001,0,0.6,-0.510578042,1.710578042,1,-0.520721614,2.520721614,11.4,8.679650477,14.12034952,0.741882413,0.678996721,0.804768104
10,2,25,0.0025,0,0,0,0,0.6,-0.080087381,1.280087381,8.4,5.979551273,10.82044873,0.611017525,0.554848293,0.667186758
11,2,25,0.005,0,0,0,0,0.2,-0.355289021,0.755289021,8,5.366032901,10.6339671,0.457699141,0.378470722,0.53692756
42,2,50,0.0001,0,15.6,11.91662933,19.28337067,12.2,10.15973786,14.24026214,33,29.5995631,36.4004369,0.972710991,0.954215151,0.991206831
43,2,50,0.0025,0,0.2,-0.355289021,0.755289021,0.2,-0.355289021,0.755289021,11.4,10.28942196,12.51057804,0.799878389,0.761746509,0.838010269
44,2,50,0.0005,0,1.8,0.761149366,2.838850634,5.2,2.508136598,7.891863402,20.2,17.97884392,22.42115608,0.925999565,0.912451848,0.939547281
45,2,50,0.001,0,0.4,-0.280087381,1.080087381,1,0.122010967,1.877989033,15.4,13.98428522,16.81571478,0.868732078,0.858616743,0.878847413
46,2,50,0.0025,0,0,0,0,0.4,-0.280087381,1.080087381,10.8,8.411611612,13.18838839,0.825028284,0.792074229,0.857982339
47,2,50,0.005,0,0.2,-0.355289021,0.755289021,0.2,-0.355289021,0.755289021,10.6,9.489421958,11.71057804,0.735226582,0.71576007,0.754693095
48,2,50,0.0001,0,16,10.17607961,21.82392039,8.2,4.433846623,11.96615338,32,27.78931252,36.21068748,0.964288534,0.93977969,0.988797378
49,2,50,0.0025,0,0,0,0,0.8,-0.238850634,1.838850634,11.2,10.16114937,12.23885063,0.806852034,0.774678964,0.839025105
50,2,50,0.0005,0,3.6,1.716923312,5.483076688,3.6,1.934132937,5.265867063,20.8,17.83556783,23.76443217,0.913558558,0.884697325,0.942419791
51,2,50,0.001,0,1,0.122010967,1.877989033,2,-0.150625131,4.150625131,14.8,11.13761737,18.46238263,0.889874633,0.849644521,0.930104745
52,2,50,0.0025,0,0.2,-0.355289021,0.755289021,0.6,-0.080087381,1.280087381,12.6,11.48942196,13.71057804,0.820127697,0.798036747,0.842218648
53,2,50,0.005,0,0,0,0,0.6,-0.510578042,1.710578042,9.4,6.979551273,11.82044873,0.753521043,0.703031236,0.804010851
84,2,75,0.0001,0,18.6,16.34440533,20.85559467,13.8,11.95831467,15.64168533,42,39.84937487,44.15062513,0.977715357,0.964032039,0.991398675
85,2,75,0.0025,0,0,0,0,1,0.122010967,1.877989033,15.8,14.76114937,16.83885063,0.878345288,0.854257,0.902433577
86,2,75,0.0005,0,3.8,2.761149366,4.838850634,5.6,1.712976853,9.487023147,27,24.84937487,29.15062513,0.940082922,0.925006141,0.955159703
87,2,75,0.001,0,1,0.122010967,1.877989033,2.2,-0.021156084,4.421156084,20.8,20.24471098,21.35528902,0.915677907,0.900442261,0.930913553
88,2,75,0.0025,0,0.6,-0.510578042,1.710578042,0.2,-0.355289021,0.755289021,16.8,14.95831467,18.64168533,0.892245642,0.875252327,0.909238957
89,2,75,0.005,0,0.2,-0.355289021,0.755289021,0.6,-0.510578042,1.710578042,13.2,11.58106822,14.81893178,0.826758968,0.781249099,0.872268836
90,2,75,0.0001,0,20.6,16.81343372,24.38656628,11,5.956336996,16.043663,42,38.95855677,45.04144323,0.97463996,0.973716318,0.975563603
91,2,75,0.0025,0,0.2,-0.355289021,0.755289021,0.4,-0.280087381,1.080087381,14.2,11.65534603,16.74465397,0.874118093,0.840593304,0.907642882
92,2,75,0.0005,0,5,2.516672004,7.483327996,6,2.834365522,9.165634478,27.6,24.74147481,30.45852519,0.956505364,0.934079166,0.978931562
93,2,75,0.001,0,1.2,0.161149366,2.238850634,1.8,0.761149366,2.838850634,20.6,18.02523073,23.17476927,0.927475857,0.908935138,0.946016575
94,2,75,0.0025,0,0.4,-0.280087381,1.080087381,0.4,-0.280087381,1.080087381,15.8,14.18106822,17.41893178,0.881115543,0.862638529,0.899592558
95,2,75,0.005,0,0.2,-0.355289021,0.755289021,0.2,-0.355289021,0.755289021,12,10.24402193,13.75597807,0.831190415,0.798207552,0.864173277
126,2,100,0.0001,0,23.8,16.92024018,30.67975982,17.6,11.93714089,23.26285911,53.8,49.20416559,58.39583441,0.988984926,0.982437677,0.995532176
127,2,100,0.0025,0,0.8,-0.238850634,1.838850634,0.6,-0.080087381,1.280087381,18.8,16.57884392,21.02115608,0.905030927,0.873561452,0.936500401
128,2,100,0.0005,0,5.2,4.161149366,6.238850634,7,4.366032901,9.633967099,31.6,30.18428522,33.01571478,0.955747867,0.947332316,0.964163418
129,2,100,0.001,0,1.2,0.161149366,2.238850634,4.4,2.984285223,5.815714777,25.8,23.41161161,28.18838839,0.939049757,0.916800623,0.961298891
130,2,100,0.0025,0,0.2,-0.355289021,0.755289021,0.6,-0.080087381,1.280087381,18.6,16.17955127,21.02044873,0.894395091,0.867863836,0.920926346
131,2,100,0.005,0,0,0,0,0.8,-0.238850634,1.838850634,16.4,14.32229873,18.47770127,0.858237047,0.802174776,0.914299317
132,2,100,0.0001,0,19.2,11.4756922,26.9243078,17.4,12.87175507,21.92824493,50.4,46.82280072,53.97719928,0.983171786,0.976375105,0.989968468
133,2,100,0.0025,0,0.6,-0.510578042,1.710578042,1.6,0.489421958,2.710578042,21.2,18.5081366,23.8918634,0.900241783,0.85585128,0.944632286
134,2,100,0.0005,0,4.6,1.483448099,7.716551901,8.6,4.426087786,12.77391221,32.8,28.12105154,37.47894846,0.958727316,0.937762036,0.979692596
135,2,100,0.001,0,2.2,1.161149366,3.238850634,3,2.122010967,3.877989033,27.6,25.02523073,30.17476927,0.948625302,0.934772534,0.96247807
136,2,100,0.0025,0,0.6,-0.080087381,1.280087381,1,0.122010967,1.877989033,19.2,17.58106822,20.81893178,0.900726736,0.882217673,0.919235798
137,2,100,0.005,0,0,0,0,0.8,-0.238850634,1.838850634,14.2,11.65534603,16.74465397,0.878667664,0.857802612,0.899532716
168,2,125,0.0001,0,22.6,20.17955127,25.02044873,15.6,12.74147481,18.45852519,58,55.516672,60.483328,0.985873532,0.980929693,0.990817371
169,2,125,0.0025,0,0,0,0,1.2,-0.160174761,2.560174761,22.4,21.71991262,23.08008738,0.918404445,0.901431261,0.935377628
170,2,125,0.0005,0,6.6,3.741474809,9.458525191,8.2,4.234443199,12.1655568,40.6,36.24531601,44.95468399,0.963598101,0.953131253,0.974064949
171,2,125,0.001,0,2.2,0.581068215,3.818931785,4.8,0.552855669,9.047144331,31.6,26.58699785,36.61300215,0.957653284,0.948284336,0.967022231
172,2,125,0.0025,0,0.4,-0.280087381,1.080087381,1,0.122010967,1.877989033,23.2,20.81161161,25.58838839,0.924777233,0.899585675,0.94996879
173,2,125,0.005,0,0,0,0,0.4,-0.710578042,1.510578042,17.4,14.67965048,20.12034952,0.895877232,0.865057146,0.926697319
174,2,125,0.0001,0,24.6,19.66448322,29.53551678,14,13.12201097,14.87798903,58.8,54.20416559,63.39583441,0.98726623,0.977520993,0.997011467
175,2,125,0.0025,0,0.6,-0.080087381,1.280087381,2.2,-0.188388388,4.588388388,23.8,21.95831467,25.64168533,0.921037222,0.900498293,0.941576151
176,2,125,0.0005,0,5.2,1.754522235,8.645477765,9.2,5.433846623,12.96615338,38.6,35.13222118,42.06777882,0.965436652,0.951869197,0.979004106
177,2,125,0.001,0,2.2,0.358314667,4.041685333,3.6,1.025230732,6.174769268,32.4,29.2834481,35.5165519,0.945976544,0.939153671,0.952799416
178,2,125,0.0025,0,0.6,-0.080087381,1.280087381,0.8,0.244710979,1.355289021,22.2,20.15973786,24.24026214,0.92819755,0.907437297,0.948957803
179,2,125,0.005,0,0.2,-0.355289021,0.755289021,0.2,-0.355289021,0.755289021,16.2,15.16114937,17.23885063,0.880366691,0.863729581,0.897003801
210,2,200,0.0001,0,21.4,16.08834776,26.71165224,21.4,18.40967711,24.39032289,77,72.61005483,81.38994517,0.995283351,0.991541164,0.999025538
211,2,200,0.0025,0,1.6,0.919912619,2.280087381,1.2,-0.418931785,2.818931785,33,29.95855677,36.04144323,0.944231019,0.933860682,0.954601356
212,2,200,0.0005,0,8.8,4.932859454,12.66714055,11.4,8.825230732,13.97476927,55.2,49.15525114,61.24474886,0.981656527,0.971758168,0.991554885
213,2,200,0.001,0,0.8,-0.238850634,1.838850634,5.8,3.411611612,8.188388388,41.6,38.74147481,44.45852519,0.973638051,0.965335252,0.98194085
214,2,200,0.0025,0,0.8,0.244710979,1.355289021,1.4,-0.265867063,3.065867063,31.4,29.32229873,33.47770127,0.955732299,0.94120714,0.970257458
215,2,200,0.005,0,0.4,-0.280087381,1.080087381,0.8,-0.238850634,1.838850634,25.6,23.02523073,28.17476927,0.937824838,0.922902294,0.952747382
216,2,200,0.0001,0,20.6,16.61505161,24.58494839,22,15.66873104,28.33126896,76.4,69.85323899,82.94676101,0.991997899,0.986384702,0.997611095
217,2,200,0.0025,0,2.2,1.161149366,3.238850634,1.4,0.289421958,2.510578042,32.8,28.73841097,36.86158903,0.956136671,0.945814828,0.966458515
218,2,200,0.0005,0,8,3.698749738,12.30125026,13.6,10.36213643,16.83786357,58.2,53.28012674,63.11987326,0.978095266,0.971516812,0.984673721
219,2,200,0.001,0,4.4,1.979551273,6.820448727,6.4,4.984285223,7.815714777,48.4,44.41505161,52.38494839,0.972410679,0.966996132,0.977825226
220,2,200,0.0025,0,1,-0.241663998,2.241663998,2.2,1.161149366,3.238850634,33.6,28.90460527,38.29539473,0.950024232,0.934688257,0.965360207
221,2,200,0.005,0,0,0,0,0.4,-0.280087381,1.080087381,24.2,19.77507464,28.62492536,0.92916003,0.917561442,0.940758617
