Iteration,k,NumSubPops,Migration,InnovationRate,Ones_Mean,Ones_Lower,Ones_Upper,Twos_Mean,Twos_Lower,Twos_Upper,Richness_Mean,Richness_Lower,Richness_Upper,Fst_Mean,Fst_Lower,Fst_Upper
54,50,200,0.0001,0.0,1.0,0.12201096691491553,1.8779890330850844,0.6,-0.5105780420791192,1.7105780420791192,20.8,18.255346028508292,23.34465397149171,0.8141233646688205,0.7886316210686583,0.8396151082689828
55,50,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.716923311651558,8.483076688348442,0.14662683513391983,0.13450446589565693,0.15874920437218273
56,50,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,7.516923311651559,11.283076688348443,0.4660230572645395,0.4420163827957294,0.4900297317333496
57,50,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.122010966914916,8.877989033085084,0.3020776160919347,0.2662609458881157,0.33789428629575363
58,50,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.1611493663164305,6.23885063368357,0.1374391546001111,0.12857546963173852,0.1463028395684837
59,50,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.9842852230177255,6.815714776982276,0.0698689855761127,0.0650128483621693,0.07472512279005608
60,55,200,0.0001,0.0,1.2,-0.4189317847087064,2.818931784708706,1.4,0.28942195792088055,2.5105780420791195,20.8,18.578843915841762,23.02115608415824,0.7885649297520498,0.7681490797504812,0.8089807797536185
61,55,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.581068215291294,7.818931784708706,0.12366035895389174,0.10391269457523811,0.14340802333254538
62,55,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.366032900744747,11.633967099255253,0.4305287267390815,0.40530390162230306,0.4557535518558599
63,55,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.5081365976620944,8.891863402337906,0.28780101163748173,0.2693767305789834,0.30622529269598003
64,55,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.122010966914916,6.877989033085084,0.12934020847812605,0.11518453862808688,0.14349587832816524
65,55,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.7169233116515583,7.483076688348441,0.06339765290795808,0.05786601927426947,0.06892928654164669
66,60,200,0.0001,0.0,0.6,-0.08008738065825705,1.280087380658257,0.8,-0.23885063368356962,1.8388506336835697,17.8,13.932859454451776,21.667140545548225,0.7844315207301409,0.7720537928495375,0.7968092486107443
67,60,200,0.0025,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,5.6,4.184285223017725,7.015714776982274,0.116095895692599,0.10417986082804372,0.12801193055715426
68,60,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,6.358314667008014,10.041685332991984,0.41889772750060417,0.3997490373986907,0.4380464176025176
69,60,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,5.289421957920881,7.5105780420791195,0.25577130949853005,0.23889149471875826,0.27265112427830185
70,60,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0367568385224395,7.9632431614775605,0.11795786480646168,0.10812940778238508,0.12778632183053829
71,60,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.516923311651559,6.283076688348442,0.0641078207917745,0.05537922215139774,0.07283641943215127
72,65,200,0.0001,0.0,0.4,-0.280087380658257,1.0800873806582572,0.6,-0.08008738065825705,1.280087380658257,18.6,15.741474809012974,21.45852519098703,0.7653347825613747,0.7591182805176767,0.7715512846050726
73,65,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.9341329368813205,7.265867063118678,0.10153975854630319,0.08840089240025921,0.11467862469234717
74,65,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,7.181068215291294,10.418931784708708,0.39965843233549897,0.38679229528305004,0.4125245693879479
75,65,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.181068215291294,7.418931784708706,0.22669701840177509,0.21974658732753602,0.23364744947601415
76,65,200,0.0025,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,6.2,5.1611493663164305,7.23885063368357,0.11190321485373544,0.10117343916669763,0.12263299054077326
77,65,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.984285223017726,5.815714776982275,0.05333997645666677,0.04759757991832755,0.059082372995005995
78,70,200,0.0001,0.0,0.6,-0.5105780420791194,1.7105780420791192,0.6,-0.5105780420791194,1.7105780420791192,16.4,13.825230732070917,18.97476926792908,0.7425943785179251,0.7139483691469128,0.7712403878889373
79,70,200,0.0025,0.0,0.2,-0.3552890210395598,0.7552890210395597,0.0,0.0,0.0,6.6,4.716923311651558,8.483076688348442,0.09737272244433914,0.09025552593668493,0.10448991895199336
80,70,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,6.181068215291294,9.418931784708706,0.3603227797268488,0.3431124903323157,0.37753306912138185
81,70,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.108136597662094,9.491863402337906,0.22555280020343133,0.21644949798661395,0.2346561024202487
82,70,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,3.979551272830929,8.820448727169072,0.09566984951999781,0.08169477490863772,0.1096449241313579
83,70,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.581068215291294,6.818931784708706,0.049180329449823576,0.043241987306689,0.05511867159295815
84,75,200,0.0001,0.0,0.8,-0.23885063368356962,1.8388506336835697,0.6,-0.08008738065825705,1.280087380658257,16.4,12.822800715529883,19.977199284470114,0.7333833447011822,0.7070897437772561,0.7596769456251082
85,75,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.6770593646148058,7.322940635385194,0.09207689532730988,0.08651183147051539,0.09764195918410437
86,75,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,4.283448098949291,10.51655190105071,0.3601889762707534,0.3410122060737356,0.3793657464677712
87,75,200,0.001,0.0,0.0,0.0,0.0,0.2,-0.3552890210395598,0.7552890210395597,6.0,4.479278386208362,7.520721613791638,0.21079862485148437,0.19702373032407577,0.22457351937889297
88,75,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.479278386208362,7.520721613791638,0.09056413346194758,0.08378734863268483,0.09734091829121033
89,75,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.984285223017726,6.815714776982275,0.048462683953171576,0.04063730317265121,0.05628806473369194
90,80,200,0.0001,0.0,0.4,-0.280087380658257,1.0800873806582572,0.6,-0.08008738065825705,1.280087380658257,16.2,13.811611611900014,18.588388388099983,0.7252957110860558,0.7027609122901816,0.7478305098819301
91,80,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.179551272830928,9.020448727169072,0.08394249483847048,0.07644246909145617,0.09144252058548479
92,80,200,0.0005,0.0,0.0,0.0,0.0,0.2,-0.3552890210395598,0.7552890210395597,8.2,6.358314667008014,10.041685332991984,0.32979871351134615,0.3112746492309448,0.34832277779174753
93,80,200,0.001,0.0,0.0,0.0,0.0,0.2,-0.3552890210395598,0.7552890210395597,6.6,5.184285223017724,8.015714776982275,0.19689087821248932,0.1761362862202713,0.21764547020470734
94,80,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.181068215291294,7.418931784708706,0.08719999347946396,0.0846343708233575,0.08976561613557042
95,80,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.8116116119000156,8.588388388099984,0.043479420041005266,0.03924144779731784,0.04771739228469269
96,85,200,0.0001,0.0,0.4,-0.280087380658257,1.0800873806582572,0.2,-0.3552890210395599,0.75528902103956,14.0,10.958556772416724,17.041443227583276,0.6928435216683668,0.6611488350125305,0.7245382083242031
97,85,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,2.879650477366972,8.320349522633027,0.08120926076083183,0.07516749657521325,0.08725102494645041
98,85,200,0.0005,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,9.0,7.758336001796233,10.241663998203766,0.31220304789212094,0.2947318352627366,0.3296742605215053
99,85,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,4.984285223017725,7.815714776982276,0.18685011762866185,0.17290255369777421,0.2007976815595495
100,85,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.581068215291294,6.818931784708706,0.08382469469638745,0.07990209433704695,0.08774729505572795
101,85,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.7169233116515583,7.483076688348441,0.04054305799614529,0.03744605495886839,0.043640061033422196
102,90,200,0.0001,0.0,0.8,-0.8189317847087065,2.4189317847087066,0.2,-0.3552890210395599,0.75528902103956,14.2,13.16114936631643,15.238850633683569,0.6925996389339828,0.6773837161339921,0.7078155617339735
103,90,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.5860324292680033,9.013967570731996,0.0731478893115543,0.06826318645984969,0.07803259216325892
104,90,200,0.0005,0.0,0.2,-0.3552890210395598,0.7552890210395597,0.0,0.0,0.0,7.2,4.655346028508292,9.744653971491708,0.31299866705992285,0.3011723728129537,0.324824961306892
105,90,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.2440219338298313,6.755978066170169,0.1765338075465412,0.15632613053614305,0.19674148455693932
106,90,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.76114936631643,6.8388506336835695,0.07371262281807874,0.06711545814918954,0.08030978748696793
107,90,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.984285223017726,6.815714776982275,0.0349815827064735,0.031834954683613775,0.03812821072933323
108,95,200,0.0001,0.0,0.0,0.0,0.0,0.4,-0.280087380658257,1.0800873806582572,13.0,9.073513677044879,16.92648632295512,0.7013630565755901,0.6814715844805002,0.72125452867068
109,95,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,4.289421957920881,6.5105780420791195,0.07141657273968921,0.06801563825102622,0.0748175072283522
110,95,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,6.984285223017725,9.815714776982276,0.3137007925273789,0.3041236853270782,0.3232778997276797
111,95,200,0.001,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,6.4,4.516923311651559,8.283076688348443,0.17681230124198116,0.16633016320103894,0.1872944392829234
112,95,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,5.76114936631643,7.8388506336835695,0.06840715379257287,0.06266284360782307,0.07415146397732267
113,95,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.7583360017962333,6.241663998203767,0.035266991338820754,0.030488276129024175,0.04004570654861733
114,100,200,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,10.52229873263286,14.677701267367139,0.6663765511861334,0.639905814438808,0.6928472879334587
115,100,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,4.919912619341742,6.280087380658257,0.06824484122286915,0.06473621085152245,0.07175347159421586
116,100,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.2792401524786639,0.26139311148786687,0.29708719346946094
117,100,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.159737858025229,8.240262141974771,0.16653975366220938,0.15215491306413845,0.18092459426028032
118,100,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,4.322298732632861,8.47770126736714,0.06791692024132835,0.06078641823735369,0.07504742224530302
119,100,200,0.005,0.0,0.2,-0.3552890210395598,0.7552890210395597,0.0,0.0,0.0,5.6,4.4894219579208805,6.710578042079119,0.031684542279506,0.023850533478524002,0.03951855108048799
120,105,200,0.0001,0.0,0.2,-0.3552890210395599,0.75528902103956,0.4,-0.280087380658257,1.0800873806582572,14.6,12.934132936881321,16.26586706311868,0.6714077899758536,0.6454277181125554,0.6973878618391518
121,105,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.1611493663164305,6.23885063368357,0.06597579333532785,0.060800450407176805,0.07115113626347891
122,105,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,6.644710978960441,7.75528902103956,0.2736683185467393,0.25852874448030005,0.2888078926131785
123,105,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.849374869181966,9.150625130818035,0.15472573009072366,0.14571314533009785,0.16373831485134946
124,105,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.581068215291294,6.818931784708706,0.06759438916674224,0.060895174353675155,0.07429360397980932
125,105,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.036756838522439,6.9632431614775605,0.029426395583416854,0.027207161281738033,0.03164562988509567
126,110,200,0.0001,0.0,0.6,-0.08008738065825705,1.280087380658257,0.2,-0.3552890210395598,0.7552890210395597,12.8,8.738410965710788,16.861589034289214,0.6365596275450864,0.6249196463049357,0.6481996087852372
127,110,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.181068215291294,7.418931784708706,0.06287199719788028,0.05771830860647721,0.06802568578928335
128,110,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.223554894802201,9.776445105197798,0.2540513974185371,0.23534655695757195,0.27275623787950226
129,110,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,5.184285223017724,8.015714776982275,0.14423208209534938,0.13802388314421213,0.15044028104648663
130,110,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.6447109789604406,4.75528902103956,0.06438333354507167,0.06303812533634226,0.06572854175380108
131,110,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.581068215291294,7.818931784708706,0.03015304925411063,0.027027221178363647,0.03327887732985761
132,115,200,0.0001,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,14.4,11.283448098949291,17.51655190105071,0.6446638092342081,0.6266095576196259,0.6627180608487903
133,115,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.358314667008015,7.041685332991985,0.06390078562153297,0.05876990872451484,0.0690316625185511
134,115,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,5.984285223017725,8.815714776982276,0.2507830296657355,0.2444571245668592,0.25710893476461183
135,115,200,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.479278386208362,7.520721613791638,0.1406568957165552,0.1301932888114447,0.1511205026216657
136,115,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.7583360017962333,6.241663998203767,0.06191560792535331,0.054496529798511655,0.06933468605219496
137,115,200,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.439825238683486,6.160174761316513,0.027821270364579587,0.024587168480795812,0.031055372248363362
138,120,200,0.0001,0.0,0.4,-0.7105780420791198,1.51057804207912,0.4,-0.280087380658257,1.0800873806582572,12.2,8.754522234848656,15.645477765151343,0.6127182364664643,0.584701497541603,0.6407349753913255
139,120,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.05284715297107144,0.0473507682533397,0.05834353768880318
140,120,200,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.839825238683487,8.560174761316514,0.24911286166973906,0.23408693481908915,0.26413878852038897
141,120,200,0.001,0.0,0.0,0.0,0.0,0.2,-0.3552890210395598,0.7552890210395597,6.2,4.839825238683487,7.560174761316514,0.13210599766178496,0.12167717417241712,0.1425348211511528
142,120,200,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.759737858025229,7.840262141974771,0.05460656371836824,0.048493978736523335,0.06071914870021314
